time,tavg,tmin,tmax,prcp,wspd
2014-01-01,20.2,16.0,26.4,0.0,10.1
2014-01-02,20.1,16.0,26.4,0.0,10.1
2014-01-03,21.1,15.0,28.4,0.0,10.1
2014-01-04,21.4,15.4,29.0,0.0,10.1
2014-01-05,21.7,16.4,29.5,0.0,10.1
2014-01-06,22.7,16.4,30.8,0.0,10.1
2014-01-07,21.4,15.0,30.8,0.0,10.1
2014-01-08,20.7,15.5,29.3,0.0,10.1
2014-01-09,21.0,15.5,28.0,0.0,10.1
2014-01-10,22.0,17.1,29.7,0.0,10.1
2014-01-11,21.8,16.9,29.7,0.0,10.1
2014-01-12,22.5,16.9,30.6,0.0,10.1
2014-01-13,21.9,15.6,30.6,0.0,10.1
2014-01-14,22.4,17.0,30.5,0.0,10.1
2014-01-15,22.1,16.3,29.5,0.0,10.1
2014-01-16,22.3,16.3,28.6,0.0,10.1
2014-01-17,21.8,17.6,28.6,0.0,10.1
2014-01-18,21.6,16.2,28.1,0.0,10.1
2014-01-19,21.8,16.9,28.5,0.0,10.1
2014-01-20,20.8,17.0,28.1,0.0,10.1
2014-01-21,20.4,15.2,27.4,0.0,10.1
2014-01-22,20.8,15.2,27.2,0.0,10.1
2014-01-23,21.6,15.0,28.8,0.0,10.1
2014-01-24,22.5,15.0,29.5,0.0,10.1
2014-01-25,21.9,16.9,29.5,0.0,10.1
2014-01-26,21.3,15.5,29.4,0.0,10.1
2014-01-27,20.9,15.5,27.7,0.0,10.1
2014-01-28,21.1,15.5,28.2,0.0,10.1
2014-01-29,21.5,15.5,28.8,0.0,10.1
2014-01-30,21.7,15.9,28.8,0.0,10.1
2014-01-31,22.0,15.4,29.4,0.0,10.1
2014-02-01,22.2,15.4,29.8,0.0,10.1
2014-02-02,22.6,15.4,29.7,0.0,10.1
2014-02-03,23.0,15.7,31.4,0.0,10.1
2014-02-04,23.7,15.7,32.2,0.0,10.1
2014-02-05,23.8,16.4,32.6,0.0,10.1
2014-02-06,24.2,16.5,32.6,0.0,10.1
2014-02-07,23.7,16.5,32.6,0.0,10.1
2014-02-08,23.6,15.5,32.1,0.0,10.1
2014-02-09,23.6,15.7,32.7,0.0,10.1
2014-02-10,24.4,18.6,32.7,0.0,10.1
2014-02-11,24.2,17.9,32.1,0.0,10.1
2014-02-12,24.1,17.4,31.8,0.0,10.1
2014-02-13,24.6,19.0,31.8,0.0,10.1
2014-02-14,24.3,19.2,31.6,0.0,10.1
2014-02-15,24.7,20.2,31.6,0.0,10.1
2014-02-16,23.6,20.6,30.6,0.0,10.1
2014-02-17,25.0,19.4,32.2,0.0,10.1
2014-02-18,23.7,19.6,32.2,0.0,10.1
2014-02-19,23.4,19.2,30.1,0.0,10.1
2014-02-20,23.0,19.1,30.1,0.0,10.1
2014-02-21,23.9,19.9,30.3,0.0,10.1
2014-02-22,24.2,18.6,31.3,0.0,8.5
2014-02-23,23.5,17.1,31.6,0.0,9.8
2014-02-24,23.7,16.9,31.6,0.0,14.9
2014-02-25,23.4,19.7,30.8,0.3,14.1
2014-02-26,24.2,19.3,32.0,0.0,11.9
2014-02-27,24.5,17.6,32.0,0.0,8.7
2014-02-28,24.8,19.7,32.0,0.0,11.2
2014-03-01,23.8,19.9,31.1,0.0,11.5
2014-03-02,24.9,19.3,32.0,4.1,9.0
2014-03-03,23.8,20.2,32.0,0.0,14.9
2014-03-04,23.8,19.5,30.0,0.0,11.7
2014-03-05,24.6,23.7,31.6,0.0,12.9
2014-03-06,24.5,23.3,30.6,0.0,11.3
2014-03-07,23.8,19.9,30.6,0.5,13.6
2014-03-08,24.6,18.6,31.6,0.8,10.7
2014-03-09,24.2,18.2,31.6,0.0,14.6
2014-03-10,24.6,19.6,31.6,0.0,11.8
2014-03-11,24.2,19.4,31.6,0.0,14.4
2014-03-12,24.2,18.5,31.1,0.0,15.6
2014-03-13,24.9,16.6,31.8,0.0,12.1
2014-03-14,25.2,17.8,32.8,0.0,13.7
2014-03-15,25.6,17.1,33.1,0.0,12.1
2014-03-16,26.4,18.6,34.2,0.0,12.3
2014-03-17,26.7,18.6,34.4,0.0,9.4
2014-03-18,27.4,20.4,35.4,0.0,9.4
2014-03-19,27.1,18.7,35.4,0.0,9.3
2014-03-20,28.2,20.8,35.9,0.0,8.5
2014-03-21,27.9,22.4,35.9,0.0,6.7
2014-03-22,26.7,22.9,35.6,0.0,6.6
2014-03-23,28.1,21.9,35.0,0.0,11.0
2014-03-24,27.9,21.2,35.2,0.0,10.6
2014-03-25,27.6,20.5,35.3,0.0,10.0
2014-03-26,27.3,20.3,35.3,0.0,13.3
